"","LTid","Village","Cattle","Chick","Human","Duck","Pigeon","Goat","Sheep","Pig","LTid.1","Species","Present","Females","Tot","Prop","Bird","BirdCattleEquiv","GoatCattleEquiv","HumanCattleEquiv","TotalHostsCE"
"1",71,3,7,50,4,10,0,2,0,0,71,"Culex Culex tritaeniorhynchus",1,2,38,0.0526315789473684,60,0.6,0.4,0.571428571428571,8.57142857142857
"2",72,3,2,17,3,5,0,2,0,0,72,"Culex Culex tritaeniorhynchus",0,0,19,0,22,0.22,0.4,0.428571428571429,3.04857142857143
"3",73,3,0,15,7,10,0,1,0,0,73,"Culex Culex tritaeniorhynchus",1,230,543,0.423572744014733,25,0.25,0.2,1,1.45
"4",74,3,5,15,4,7,8,2,0,0,74,"Culex Culex tritaeniorhynchus",1,19,100,0.19,30,0.3,0.4,0.571428571428571,6.27142857142857
"5",75,3,4,5,5,7,12,3,5,0,75,"Culex Culex tritaeniorhynchus",1,274,893,0.306830907054871,24,0.24,0.6,0.714285714285714,5.55428571428571
"6",76,3,2,35,12,0,0,5,0,0,76,"Culex Culex tritaeniorhynchus",1,6,19,0.315789473684211,35,0.35,1,1.71428571428571,5.06428571428571
"7",77,3,10,10,4,15,0,0,0,0,77,"Culex Culex tritaeniorhynchus",1,2055,4724,0.435012701100762,25,0.25,0,0.571428571428571,10.8214285714286
"8",78,3,2,18,0,0,0,3,0,0,78,"Culex Culex tritaeniorhynchus",1,5,25,0.2,18,0.18,0.6,0,2.78
"9",79,3,7,50,4,10,0,2,0,0,79,"Culex Culex tritaeniorhynchus",1,21,57,0.368421052631579,60,0.6,0.4,0.571428571428571,8.57142857142857
"10",80,3,3,15,11,8,0,2,0,0,80,"Culex Culex tritaeniorhynchus",1,9,91,0.0989010989010989,23,0.23,0.4,1.57142857142857,5.20142857142857
"11",81,3,5,8,12,8,16,2,0,0,81,"Culex Culex tritaeniorhynchus",1,138,255,0.541176470588235,32,0.32,0.4,1.71428571428571,7.43428571428571
"12",82,3,0,10,3,5,0,1,0,0,82,"Culex Culex tritaeniorhynchus",1,3,12,0.25,15,0.15,0.2,0.428571428571429,0.778571428571428
"13",83,3,0,2,3,0,0,0,0,0,83,"Culex Culex tritaeniorhynchus",1,3,29,0.103448275862069,2,0.02,0,0.428571428571429,0.448571428571429
"14",84,3,0,15,11,14,0,0,0,0,84,"Culex Culex tritaeniorhynchus",0,0,1,0,29,0.29,0,1.57142857142857,1.86142857142857
"15",85,3,4,10,3,2,0,0,0,0,85,"Culex Culex tritaeniorhynchus",1,174,444,0.391891891891892,12,0.12,0,0.428571428571429,4.54857142857143
"16",86,3,1,4,7,0,0,1,0,0,86,"Culex Culex tritaeniorhynchus",0,0,26,0,4,0.04,0.2,1,2.24
"17",87,3,2,40,12,30,7,10,0,0,87,"Culex Culex tritaeniorhynchus",1,35,110,0.318181818181818,77,0.77,2,1.71428571428571,6.48428571428571
"18",88,3,4,15,6,3,0,0,0,0,88,"Culex Culex tritaeniorhynchus",1,131,361,0.362880886426593,18,0.18,0,0.857142857142857,5.03714285714286
"19",89,4,0,0,6,0,0,2,0,0,89,"Culex Culex tritaeniorhynchus",1,2,5,0.4,0,0,0.4,0.857142857142857,1.25714285714286
"20",90,4,2,0,6,0,20,0,0,0,90,"Culex Culex tritaeniorhynchus",1,40,95,0.421052631578947,20,0.2,0,0.857142857142857,3.05714285714286
"21",91,4,4,6,12,0,10,0,0,0,91,"Culex Culex tritaeniorhynchus",1,109,317,0.34384858044164,16,0.16,0,1.71428571428571,5.87428571428571
"22",92,4,3,13,15,0,0,10,0,0,92,"Culex Culex tritaeniorhynchus",1,19,48,0.395833333333333,13,0.13,2,2.14285714285714,7.27285714285714
"23",93,4,3,0,10,0,10,0,0,0,93,"Culex Culex tritaeniorhynchus",1,12,37,0.324324324324324,10,0.1,0,1.42857142857143,4.52857142857143
"24",94,4,3,0,6,10,0,0,0,0,94,"Culex Culex tritaeniorhynchus",1,75,227,0.330396475770925,10,0.1,0,0.857142857142857,3.95714285714286
"25",95,4,1,0,6,0,0,0,0,0,95,"Culex Culex tritaeniorhynchus",1,30,150,0.2,0,0,0,0.857142857142857,1.85714285714286
"26",96,4,0,9,15,0,18,2,0,0,96,"Culex Culex tritaeniorhynchus",1,82,391,0.209718670076726,27,0.27,0.4,2.14285714285714,2.81285714285714
"27",97,4,2,7,4,0,22,6,0,0,97,"Culex Culex tritaeniorhynchus",1,17,63,0.26984126984127,29,0.29,1.2,0.571428571428571,4.06142857142857
"28",98,4,2,5,9,0,20,2,0,0,98,"Culex Culex tritaeniorhynchus",1,14,60,0.233333333333333,25,0.25,0.4,1.28571428571429,3.93571428571429
"29",99,4,1,5,3,0,0,7,0,0,99,"Culex Culex tritaeniorhynchus",1,4,7,0.571428571428571,5,0.05,1.4,0.428571428571429,2.87857142857143
"30",100,4,1,0,4,0,0,0,0,0,100,"Culex Culex tritaeniorhynchus",1,7,14,0.5,0,0,0,0.571428571428571,1.57142857142857
"31",101,4,1,0,7,3,10,0,0,0,101,"Culex Culex tritaeniorhynchus",1,11,26,0.423076923076923,13,0.13,0,1,2.13
"32",102,4,3,6,5,0,4,3,0,0,102,"Culex Culex tritaeniorhynchus",1,158,412,0.383495145631068,10,0.1,0.6,0.714285714285714,4.41428571428571
"33",103,4,1,4,10,0,0,1,0,0,103,"Culex Culex tritaeniorhynchus",1,123,194,0.634020618556701,4,0.04,0.2,1.42857142857143,2.66857142857143
"34",104,4,2,6,6,0,20,6,0,0,104,"Culex Culex tritaeniorhynchus",1,115,293,0.392491467576792,26,0.26,1.2,0.857142857142857,4.31714285714286
"35",105,5,7,15,15,25,6,0,0,0,105,"Culex Culex tritaeniorhynchus",1,230,471,0.488322717622081,46,0.46,0,2.14285714285714,9.60285714285714
"36",106,5,3,20,3,0,52,0,0,0,106,"Culex Culex tritaeniorhynchus",1,62,219,0.28310502283105,72,0.72,0,0.428571428571429,4.14857142857143
"37",107,5,0,5,2,0,6,1,0,0,107,"Culex Culex tritaeniorhynchus",1,1,18,0.0555555555555556,11,0.11,0.2,0.285714285714286,0.595714285714286
"38",108,5,5,0,0,0,0,0,0,0,108,"Culex Culex tritaeniorhynchus",1,505,1047,0.48233046800382,0,0,0,0,5
"39",109,5,0,100,8,6,0,6,0,0,109,"Culex Culex tritaeniorhynchus",1,65,251,0.258964143426295,106,1.06,1.2,1.14285714285714,3.40285714285714
"40",110,5,6,2,3,0,5,5,0,0,110,"Culex Culex tritaeniorhynchus",1,13,27,0.481481481481481,7,0.07,1,0.428571428571429,7.49857142857143
"41",111,5,3,8,10,0,16,1,0,0,111,"Culex Culex tritaeniorhynchus",1,79,217,0.36405529953917,24,0.24,0.2,1.42857142857143,4.86857142857143
"42",112,5,2,0,2,4,0,0,0,0,112,"Culex Culex tritaeniorhynchus",1,221,484,0.456611570247934,4,0.04,0,0.285714285714286,2.32571428571429
"43",113,5,1,0,5,0,2,1,0,0,113,"Culex Culex tritaeniorhynchus",1,15,36,0.416666666666667,2,0.02,0.2,0.714285714285714,1.93428571428571
"44",114,5,3,5,4,0,6,2,0,0,114,"Culex Culex tritaeniorhynchus",1,250,560,0.446428571428571,11,0.11,0.4,0.571428571428571,4.08142857142857
"45",115,5,7,5,3,9,16,6,0,0,115,"Culex Culex tritaeniorhynchus",1,410,641,0.639625585023401,30,0.3,1.2,0.428571428571429,8.92857142857143
"46",116,5,6,4,4,10,25,0,0,0,116,"Culex Culex tritaeniorhynchus",1,238,567,0.419753086419753,39,0.39,0,0.571428571428571,6.96142857142857
"47",117,5,1,1,3,0,0,3,0,0,117,"Culex Culex tritaeniorhynchus",1,1,6,0.166666666666667,1,0.01,0.6,0.428571428571429,2.03857142857143
"48",118,5,2,10,4,0,0,1,0,0,118,"Culex Culex tritaeniorhynchus",1,26,88,0.295454545454545,10,0.1,0.2,0.571428571428571,2.87142857142857
"49",120,5,4,20,4,10,0,0,0,0,120,"Culex Culex tritaeniorhynchus",1,131,343,0.381924198250729,30,0.3,0,0.571428571428571,4.87142857142857
"50",121,6,10,5,10,3,0,0,0,0,121,"Culex Culex tritaeniorhynchus",1,267,413,0.646489104116223,8,0.08,0,1.42857142857143,11.5085714285714
"51",122,6,2,5,14,0,9,4,0,0,122,"Culex Culex tritaeniorhynchus",1,34,82,0.414634146341463,14,0.14,0.8,2,4.94
"52",123,6,1,10,8,0,0,0,0,0,123,"Culex Culex tritaeniorhynchus",1,1,33,0.0303030303030303,10,0.1,0,1.14285714285714,2.24285714285714
"53",124,6,3,6,4,2,0,0,15,0,124,"Culex Culex tritaeniorhynchus",1,11,26,0.423076923076923,8,0.08,0,0.571428571428571,3.65142857142857
"54",125,6,0,0,6,3,11,2,0,0,125,"Culex Culex tritaeniorhynchus",0,0,1,0,14,0.14,0.4,0.857142857142857,1.39714285714286
"55",126,6,3,4,8,0,10,2,0,0,126,"Culex Culex tritaeniorhynchus",1,23,65,0.353846153846154,14,0.14,0.4,1.14285714285714,4.68285714285714
"56",127,6,0,2,10,0,0,2,0,0,127,"Culex Culex tritaeniorhynchus",1,2,4,0.5,2,0.02,0.4,1.42857142857143,1.84857142857143
"57",128,6,6,5,6,5,15,0,0,0,128,"Culex Culex tritaeniorhynchus",1,4286,5512,0.777576197387518,25,0.25,0,0.857142857142857,7.10714285714286
"58",129,6,1,2,4,0,0,4,0,0,129,"Culex Culex tritaeniorhynchus",1,2,7,0.285714285714286,2,0.02,0.8,0.571428571428571,2.39142857142857
"59",130,6,3,5,10,0,30,4,0,0,130,"Culex Culex tritaeniorhynchus",1,36,66,0.545454545454545,35,0.35,0.8,1.42857142857143,5.57857142857143
"60",131,6,1,5,8,0,13,1,0,0,131,"Culex Culex tritaeniorhynchus",1,385,860,0.447674418604651,18,0.18,0.2,1.14285714285714,2.52285714285714
"61",132,6,2,22,7,0,0,5,0,0,132,"Culex Culex tritaeniorhynchus",1,157,264,0.59469696969697,22,0.22,1,1,4.22
"62",133,6,4,10,4,0,0,2,0,0,133,"Culex Culex tritaeniorhynchus",1,6,11,0.545454545454545,10,0.1,0.4,0.571428571428571,5.07142857142857
"63",134,6,0,10,4,0,0,1,0,0,134,"Culex Culex tritaeniorhynchus",1,2,2,1,10,0.1,0.2,0.571428571428571,0.871428571428571
"64",135,6,7,8,18,0,4,0,0,0,135,"Culex Culex tritaeniorhynchus",1,1108,1834,0.604143947655398,12,0.12,0,2.57142857142857,9.69142857142857
"65",136,6,5,15,8,0,8,0,0,0,136,"Culex Culex tritaeniorhynchus",1,39,47,0.829787234042553,23,0.23,0,1.14285714285714,6.37285714285714
"66",137,7,4,25,7,20,10,4,0,0,137,"Culex Culex tritaeniorhynchus",1,167,514,0.324902723735409,55,0.55,0.8,1,6.35
"67",138,7,0,0,7,14,0,5,0,0,138,"Culex Culex tritaeniorhynchus",1,3,33,0.0909090909090909,14,0.14,1,1,2.14
"68",139,7,1,0,4,22,0,1,0,0,139,"Culex Culex tritaeniorhynchus",1,61,226,0.269911504424779,22,0.22,0.2,0.571428571428571,1.99142857142857
"69",140,7,8,30,7,4,50,0,0,0,140,"Culex Culex tritaeniorhynchus",1,66,187,0.352941176470588,84,0.84,0,1,9.84
"70",141,7,3,10,15,10,0,2,0,0,141,"Culex Culex tritaeniorhynchus",1,72,196,0.36734693877551,20,0.2,0.4,2.14285714285714,5.74285714285714
"71",142,7,8,0,9,6,0,2,0,0,142,"Culex Culex tritaeniorhynchus",1,12866,21396,0.601327350906712,6,0.06,0.4,1.28571428571429,9.74571428571429
"72",143,7,0,0,3,0,0,0,0,0,143,"Culex Culex tritaeniorhynchus",1,10,42,0.238095238095238,0,0,0,0.428571428571429,0.428571428571429
"73",144,7,3,4,7,5,0,10,0,0,144,"Culex Culex tritaeniorhynchus",1,187,594,0.314814814814815,9,0.09,2,1,6.09
"74",145,7,5,7,9,8,0,2,0,0,145,"Culex Culex tritaeniorhynchus",1,3121,4038,0.772907379891035,15,0.15,0.4,1.28571428571429,6.83571428571429
"75",146,7,2,4,9,4,0,5,0,0,146,"Culex Culex tritaeniorhynchus",1,16,45,0.355555555555556,8,0.08,1,1.28571428571429,4.36571428571429
"76",147,7,2,8,5,6,0,1,0,0,147,"Culex Culex tritaeniorhynchus",1,63,288,0.21875,14,0.14,0.2,0.714285714285714,3.05428571428571
"77",148,7,4,12,8,0,8,5,0,0,148,"Culex Culex tritaeniorhynchus",1,230,632,0.363924050632911,20,0.2,1,1.14285714285714,6.34285714285714
"78",149,7,3,5,5,0,25,1,0,0,149,"Culex Culex tritaeniorhynchus",1,862,1687,0.510966212211025,30,0.3,0.2,0.714285714285714,4.21428571428571
"79",152,7,2,8,6,7,0,2,0,0,152,"Culex Culex tritaeniorhynchus",1,663,1471,0.450713800135962,15,0.15,0.4,0.857142857142857,3.40714285714286
"80",153,8,8,20,13,20,80,0,0,0,153,"Culex Culex tritaeniorhynchus",1,366,454,0.806167400881057,120,1.2,0,1.85714285714286,11.0571428571429
"81",154,8,7,20,6,25,20,3,4,0,154,"Culex Culex tritaeniorhynchus",1,1281,1498,0.855140186915888,65,0.65,0.6,0.857142857142857,9.10714285714286
"82",155,8,0,0,6,4,0,0,0,0,155,"Culex Culex tritaeniorhynchus",1,5,24,0.208333333333333,4,0.04,0,0.857142857142857,0.897142857142857
"83",156,8,4,6,5,6,0,2,0,0,156,"Culex Culex tritaeniorhynchus",1,622,924,0.673160173160173,12,0.12,0.4,0.714285714285714,5.23428571428571
"84",157,8,5,0,5,4,0,2,0,0,157,"Culex Culex tritaeniorhynchus",1,387,828,0.467391304347826,4,0.04,0.4,0.714285714285714,6.15428571428571
"85",158,8,0,1,4,12,0,0,0,0,158,"Culex Culex tritaeniorhynchus",1,12,16,0.75,13,0.13,0,0.571428571428571,0.701428571428571
"86",159,8,5,50,8,7,10,0,0,0,159,"Culex Culex tritaeniorhynchus",1,259,349,0.742120343839542,67,0.67,0,1.14285714285714,6.81285714285714
"87",160,8,3,25,2,1,0,0,0,0,160,"Culex Culex tritaeniorhynchus",1,1547,1935,0.799483204134367,26,0.26,0,0.285714285714286,3.54571428571429
"88",161,8,3,4,3,7,0,1,0,0,161,"Culex Culex tritaeniorhynchus",1,98,129,0.75968992248062,11,0.11,0.2,0.428571428571429,3.73857142857143
"89",162,8,3,2,6,10,0,3,0,0,162,"Culex Culex tritaeniorhynchus",1,1556,1800,0.864444444444444,12,0.12,0.6,0.857142857142857,4.57714285714286
"90",163,8,3,5,3,8,30,0,0,0,163,"Culex Culex tritaeniorhynchus",1,34,56,0.607142857142857,43,0.43,0,0.428571428571429,3.85857142857143
"91",164,8,8,2,13,12,20,4,0,0,164,"Culex Culex tritaeniorhynchus",1,79,120,0.658333333333333,34,0.34,0.8,1.85714285714286,10.9971428571429
"92",165,8,5,30,4,10,0,3,0,0,165,"Culex Culex tritaeniorhynchus",1,2847,4160,0.684375,40,0.4,0.6,0.571428571428571,6.57142857142857
"93",166,8,8,10,6,21,0,1,1,0,166,"Culex Culex tritaeniorhynchus",1,136,255,0.533333333333333,31,0.31,0.2,0.857142857142857,9.36714285714286
"94",167,8,1,0,4,6,0,2,0,0,167,"Culex Culex tritaeniorhynchus",1,66,123,0.536585365853659,6,0.06,0.4,0.571428571428571,2.03142857142857
"95",168,8,4,71,6,7,0,0,0,0,168,"Culex Culex tritaeniorhynchus",1,227,327,0.694189602446483,78,0.78,0,0.857142857142857,5.63714285714286
"96",169,9,3,15,16,0,20,3,0,0,169,"Culex Culex tritaeniorhynchus",1,1,15,0.0666666666666667,35,0.35,0.6,2.28571428571429,6.23571428571429
"97",170,9,2,30,11,0,0,3,0,1,170,"Culex Culex tritaeniorhynchus",1,126,291,0.43298969072165,30,0.3,0.6,1.57142857142857,4.47142857142857
"98",171,9,2,4,5,0,0,1,0,1,171,"Culex Culex tritaeniorhynchus",1,5,20,0.25,4,0.04,0.2,0.714285714285714,2.95428571428571
"99",172,9,6,16,4,5,0,3,0,0,172,"Culex Culex tritaeniorhynchus",1,309,932,0.331545064377682,21,0.21,0.6,0.571428571428571,7.38142857142857
"100",173,9,1,7,5,3,0,2,0,0,173,"Culex Culex tritaeniorhynchus",1,5,31,0.161290322580645,10,0.1,0.4,0.714285714285714,2.21428571428571
"101",174,9,2,0,4,4,30,4,0,0,174,"Culex Culex tritaeniorhynchus",1,82,209,0.392344497607655,34,0.34,0.8,0.571428571428571,3.71142857142857
"102",175,9,5,12,4,6,0,1,0,0,175,"Culex Culex tritaeniorhynchus",1,562,756,0.743386243386243,18,0.18,0.2,0.571428571428571,5.95142857142857
"103",176,9,5,10,4,6,0,1,0,0,176,"Culex Culex tritaeniorhynchus",1,56,130,0.430769230769231,16,0.16,0.2,0.571428571428571,5.93142857142857
"104",177,9,6,18,4,0,14,2,0,0,177,"Culex Culex tritaeniorhynchus",1,74,282,0.26241134751773,32,0.32,0.4,0.571428571428571,7.29142857142857
"105",178,9,5,20,4,0,40,0,0,0,178,"Culex Culex tritaeniorhynchus",1,24,55,0.436363636363636,60,0.6,0,0.571428571428571,6.17142857142857
"106",179,9,4,4,5,5,0,0,0,1,179,"Culex Culex tritaeniorhynchus",1,467,944,0.494703389830508,9,0.09,0,0.714285714285714,4.80428571428571
"107",180,9,3,15,2,8,0,0,0,0,180,"Culex Culex tritaeniorhynchus",1,47,127,0.37007874015748,23,0.23,0,0.285714285714286,3.51571428571429
"108",181,10,5,7,4,1,10,2,0,0,181,"Culex Culex tritaeniorhynchus",1,7,23,0.304347826086957,18,0.18,0.4,0.571428571428571,6.15142857142857
"109",182,10,2,10,2,2,0,1,0,0,182,"Culex Culex tritaeniorhynchus",1,21,96,0.21875,12,0.12,0.2,0.285714285714286,2.60571428571429
"111",184,10,0,3,8,0,0,2,0,0,184,"Culex Culex tritaeniorhynchus",1,2,9,0.222222222222222,3,0.03,0.4,1.14285714285714,1.57285714285714
"112",185,10,0,10,5,20,25,2,0,0,185,"Culex Culex tritaeniorhynchus",1,3,20,0.15,55,0.55,0.4,0.714285714285714,1.66428571428571
"113",186,10,0,10,0,7,0,5,0,0,186,"Culex Culex tritaeniorhynchus",1,23,73,0.315068493150685,17,0.17,1,0,1.17
"114",187,10,3,6,4,0,0,6,0,0,187,"Culex Culex tritaeniorhynchus",1,109,201,0.54228855721393,6,0.06,1.2,0.571428571428571,4.83142857142857
"115",188,10,0,0,11,6,0,0,0,0,188,"Culex Culex tritaeniorhynchus",1,1,10,0.1,6,0.06,0,1.57142857142857,1.63142857142857
"116",189,10,3,6,6,7,0,3,0,0,189,"Culex Culex tritaeniorhynchus",1,3,31,0.0967741935483871,13,0.13,0.6,0.857142857142857,4.58714285714286
"117",190,10,12,30,11,12,0,1,4,0,190,"Culex Culex tritaeniorhynchus",1,36,135,0.266666666666667,42,0.42,0.2,1.57142857142857,14.1914285714286
"118",191,10,1,4,6,4,6,8,0,0,191,"Culex Culex tritaeniorhynchus",1,11,32,0.34375,14,0.14,1.6,0.857142857142857,3.59714285714286
"119",192,10,5,20,7,8,46,0,0,0,192,"Culex Culex tritaeniorhynchus",1,51,176,0.289772727272727,74,0.74,0,1,6.74
"120",193,10,0,2,3,0,0,0,0,0,193,"Culex Culex tritaeniorhynchus",0,0,1,0,2,0.02,0,0.428571428571429,0.448571428571429
"121",194,10,1,10,4,5,0,0,0,0,194,"Culex Culex tritaeniorhynchus",1,13,51,0.254901960784314,15,0.15,0,0.571428571428571,1.72142857142857
"122",195,10,5,10,10,2,20,1,0,0,195,"Culex Culex tritaeniorhynchus",1,232,452,0.513274336283186,32,0.32,0.2,1.42857142857143,6.94857142857143
"123",196,10,2,10,3,2,0,1,0,0,196,"Culex Culex tritaeniorhynchus",1,58,98,0.591836734693878,12,0.12,0.2,0.428571428571429,2.74857142857143
